time,_geo,geo,value,UNIT,_UNIT,EGROUP,_EGROUP,POSITION,_POSITION,sex,_sex
2021,AL,Albania,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2021,AL,Albania,5,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2021,AL,Albania,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2021,AL,Albania,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2017,AT,Austria,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2019,AT,Austria,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2021,AT,Austria,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2017,AT,Austria,3,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2019,AT,Austria,4,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2021,AT,Austria,4,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2017,AT,Austria,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2019,AT,Austria,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2021,AT,Austria,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2017,AT,Austria,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2019,AT,Austria,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2021,AT,Austria,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2019,BA,Bosnia and Herzegovina,4,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2021,BA,Bosnia and Herzegovina,4,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2019,BA,Bosnia and Herzegovina,10,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2021,BA,Bosnia and Herzegovina,12,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2019,BA,Bosnia and Herzegovina,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2021,BA,Bosnia and Herzegovina,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2019,BA,Bosnia and Herzegovina,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2021,BA,Bosnia and Herzegovina,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2017,BE,Belgium,15,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2019,BE,Belgium,21,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2021,BE,Belgium,22,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2017,BE,Belgium,53,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2019,BE,Belgium,44,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2021,BE,Belgium,43,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2017,BE,Belgium,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2019,BE,Belgium,3,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2021,BE,Belgium,4,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2017,BE,Belgium,5,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2019,BE,Belgium,3,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2021,BE,Belgium,2,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2017,BG,Bulgaria,14,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2019,BG,Bulgaria,15,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2021,BG,Bulgaria,15,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2017,BG,Bulgaria,13,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2019,BG,Bulgaria,12,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2021,BG,Bulgaria,12,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2017,BG,Bulgaria,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2019,BG,Bulgaria,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2021,BG,Bulgaria,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2017,BG,Bulgaria,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2019,BG,Bulgaria,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2021,BG,Bulgaria,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2019,CY,Cyprus,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2021,CY,Cyprus,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2019,CY,Cyprus,4,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2021,CY,Cyprus,4,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2019,CY,Cyprus,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2021,CY,Cyprus,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2019,CY,Cyprus,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2021,CY,Cyprus,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2017,CZ,Czech Republic,4,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2019,CZ,Czech Republic,6,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2021,CZ,Czech Republic,6,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2017,CZ,Czech Republic,13,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2019,CZ,Czech Republic,11,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2021,CZ,Czech Republic,11,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2017,CZ,Czech Republic,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2019,CZ,Czech Republic,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2021,CZ,Czech Republic,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2017,CZ,Czech Republic,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2019,CZ,Czech Republic,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2021,CZ,Czech Republic,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2017,DE,Germany,2,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2019,DE,Germany,2,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2021,DE,Germany,3,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Women,W
2017,DE,Germany,10,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2019,DE,Germany,10,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2021,DE,Germany,8,Number of persons (headcount),NR,Academies of science,ACAD_SCI,Members of the highest decision-making body,MEMB_HDM,Men,M
2017,DE,Germany,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2019,DE,Germany,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2021,DE,Germany,0,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Women,W
2017,DE,Germany,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2019,DE,Germany,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
2021,DE,Germany,1,Number of persons (headcount),NR,Academies of science,ACAD_SCI,President or chair,PRES_CHAIR,Men,M
