	continent	name	iso_a3
0	Oceania	Fiji	FJI
1	Africa	Tanzania	TZA
2	Africa	W. Sahara	ESH
3	North America	Canada	CAN
4	North America	United States of America	USA
5	Asia	Kazakhstan	KAZ
6	Asia	Uzbekistan	UZB
7	Oceania	Papua New Guinea	PNG
8	Asia	Indonesia	IDN
9	South America	Argentina	ARG
10	South America	Chile	CHL
11	Africa	Dem. Rep. Congo	COD
12	Africa	Somalia	SOM
13	Africa	Kenya	KEN
14	Africa	Sudan	SDN
15	Africa	Chad	TCD
16	North America	Haiti	HTI
17	North America	Dominican Rep.	DOM
18	Europe	Russia	RUS
19	North America	Bahamas	BHS
20	South America	Falkland Is.	FLK
21	Europe	Norway	NOR
22	North America	Greenland	GRL
23	Seven seas (open ocean)	Fr. S. Antarctic Lands	ATF
24	Asia	Timor-Leste	TLS
25	Africa	South Africa	ZAF
26	Africa	Lesotho	LSO
27	North America	Mexico	MEX
28	South America	Uruguay	URY
29	South America	Brazil	BRA
30	South America	Bolivia	BOL
31	South America	Peru	PER
32	South America	Colombia	COL
33	North America	Panama	PAN
34	North America	Costa Rica	CRI
35	North America	Nicaragua	NIC
36	North America	Honduras	HND
37	North America	El Salvador	SLV
38	North America	Guatemala	GTM
39	North America	Belize	BLZ
40	South America	Venezuela	VEN
41	South America	Guyana	GUY
42	South America	Suriname	SUR
43	Europe	France	FRA
44	South America	Ecuador	ECU
45	North America	Puerto Rico	PRI
46	North America	Jamaica	JAM
47	North America	Cuba	CUB
48	Africa	Zimbabwe	ZWE
49	Africa	Botswana	BWA
50	Africa	Namibia	NAM
51	Africa	Senegal	SEN
52	Africa	Mali	MLI
53	Africa	Mauritania	MRT
54	Africa	Benin	BEN
55	Africa	Niger	NER
56	Africa	Nigeria	NGA
57	Africa	Cameroon	CMR
58	Africa	Togo	TGO
59	Africa	Ghana	GHA
60	Africa	Côte d'Ivoire	CIV
61	Africa	Guinea	GIN
62	Africa	Guinea-Bissau	GNB
63	Africa	Liberia	LBR
64	Africa	Sierra Leone	SLE
65	Africa	Burkina Faso	BFA
66	Africa	Central African Rep.	CAF
67	Africa	Congo	COG
68	Africa	Gabon	GAB
69	Africa	Eq. Guinea	GNQ
70	Africa	Zambia	ZMB
71	Africa	Malawi	MWI
72	Africa	Mozambique	MOZ
73	Africa	eSwatini	SWZ
74	Africa	Angola	AGO
75	Africa	Burundi	BDI
76	Asia	Israel	ISR
77	Asia	Lebanon	LBN
78	Africa	Madagascar	MDG
79	Asia	Palestine	PSE
80	Africa	Gambia	GMB
81	Africa	Tunisia	TUN
82	Africa	Algeria	DZA
83	Asia	Jordan	JOR
84	Asia	United Arab Emirates	ARE
85	Asia	Qatar	QAT
86	Asia	Kuwait	KWT
87	Asia	Iraq	IRQ
88	Asia	Oman	OMN
89	Oceania	Vanuatu	VUT
90	Asia	Cambodia	KHM
91	Asia	Thailand	THA
92	Asia	Laos	LAO
93	Asia	Myanmar	MMR
94	Asia	Vietnam	VNM
95	Asia	North Korea	PRK
96	Asia	South Korea	KOR
97	Asia	Mongolia	MNG
98	Asia	India	IND
99	Asia	Bangladesh	BGD
100	Asia	Bhutan	BTN
101	Asia	Nepal	NPL
102	Asia	Pakistan	PAK
103	Asia	Afghanistan	AFG
104	Asia	Tajikistan	TJK
105	Asia	Kyrgyzstan	KGZ
106	Asia	Turkmenistan	TKM
107	Asia	Iran	IRN
108	Asia	Syria	SYR
109	Asia	Armenia	ARM
110	Europe	Sweden	SWE
111	Europe	Belarus	BLR
112	Europe	Ukraine	UKR
113	Europe	Poland	POL
114	Europe	Austria	AUT
115	Europe	Hungary	HUN
116	Europe	Moldova	MDA
117	Europe	Romania	ROU
118	Europe	Lithuania	LTU
119	Europe	Latvia	LVA
120	Europe	Estonia	EST
121	Europe	Germany	DEU
122	Europe	Bulgaria	BGR
123	Europe	Greece	GRC
124	Asia	Turkey	TUR
125	Europe	Albania	ALB
126	Europe	Croatia	HRV
127	Europe	Switzerland	CHE
128	Europe	Luxembourg	LUX
129	Europe	Belgium	BEL
130	Europe	Netherlands	NLD
131	Europe	Portugal	PRT
132	Europe	Spain	ESP
133	Europe	Ireland	IRL
134	Oceania	New Caledonia	NCL
135	Oceania	Solomon Is.	SLB
136	Oceania	New Zealand	NZL
137	Oceania	Australia	AUS
138	Asia	Sri Lanka	LKA
139	Asia	China	CHN
140	Asia	Taiwan	TWN
141	Europe	Italy	ITA
142	Europe	Denmark	DNK
143	Europe	United Kingdom	GBR
144	Europe	Iceland	ISL
145	Asia	Azerbaijan	AZE
146	Asia	Georgia	GEO
147	Asia	Philippines	PHL
148	Asia	Malaysia	MYS
149	Asia	Brunei	BRN
150	Europe	Slovenia	SVN
151	Europe	Finland	FIN
152	Europe	Slovakia	SVK
153	Europe	Czechia	CZE
154	Africa	Eritrea	ERI
155	Asia	Japan	JPN
156	South America	Paraguay	PRY
157	Asia	Yemen	YEM
158	Asia	Saudi Arabia	SAU
159	Antarctica	Antarctica	ATA
160	Asia	N. Cyprus	CYN
161	Asia	Cyprus	CYP
162	Africa	Morocco	MAR
163	Africa	Egypt	EGY
164	Africa	Libya	LBY
165	Africa	Ethiopia	ETH
166	Africa	Djibouti	DJI
167	Africa	Somaliland	SOL
168	Africa	Uganda	UGA
169	Africa	Rwanda	RWA
170	Europe	Bosnia and Herz.	BIH
171	Europe	North Macedonia	MKD
172	Europe	Serbia	SRB
173	Europe	Montenegro	MNE
174	Europe	Kosovo	-99
175	North America	Trinidad and Tobago	TTO
176	Africa	S. Sudan	SSD
